lon,lat,eastVel,northVel,eastSig,northSig,corr,other1,tog,name,upVel,upSig,eastAdj,northAdj,upAdj,
268.817,32.4,0.064,0.569,0.519,0.474,0,2,1,"TALL_GPS  ",0,1,0,0,0,
268.82,30.407,-0.102,1.658,0.434,0.363,0,2,1,"1LSU_GPS  ",0,1,0,0,0,
248.254,39.744,-0.373,2.608,1.01,0.67,0,2,1,"FOOT_GPS  ",0,1,0,0,0,
248.249,40.435,-2.143,0.893,0.427,0.4,0,161,1,"P117_GPS  ",0,1,0,0,0,
268.839,38.815,0.686,0.98,0.74,0.61,0,2,1,"MOWR_GPS  ",0,1,0,0,0,
248.219,41.583,-0.703,1.202,0.446,0.418,0,161,1,"P126_GPS  ",0,1,0,0,0,
248.217,45.693,0.952,1.237,0.374,0.387,0.003,102,1,"F145_GPS  ",0,1,0,0,0,
248.216,43.82,-1.478,-0.406,0.392,0.39,0,164,1,"IDBY_GPS  ",0,1,0,0,0,
248.212,42.541,-1.284,0.938,0.552,0.592,0.118,161,1,"GRCE_GPS  ",0,1,0,0,0,
248.211,45.218,0.741,1.236,0.471,0.402,0,102,1,"P719_GPS  ",0,1,0,0,0,
248.206,34.863,-1.745,1.509,0.65,0.553,0,2,1,"SEDO_GPS  ",0,1,0,0,0,
248.195,43.836,-2.205,0.009,0.387,0.339,-0.044,164,1,"U11D_GPS  ",0,1,0,0,0,
248.192,26.621,-34.735,29.785,1.1,0.8,0,245,1,"CONC_GPS  ",0,1,0,0,0,
248.191,40.781,-0.762,1.687,0.29,0.286,0,2,1,"RBUT_GPS  ",0,1,0,0,0,
268.89,41.643,0.652,0.717,0.717,0.584,0,2,1,"IATI_GPS  ",0,1,0,0,0,
268.893,30.396,0.203,-0.074,0.872,0.995,0,2,1,"SJB1_GPS  ",0,1,0,0,0,
248.171,34.537,-1.171,2.267,3.15,3.45,0.076,2,1,"W002_GPS  ",0,1,0,0,0,
248.17,44.068,-1.161,-0.292,0.468,0.449,0,164,1,"P685_GPS  ",0,1,0,0,0,
248.163,44.719,-0.503,-0.071,0.478,0.474,0,102,1,"P707_GPS  ",0,1,0,0,0,
248.157,42.215,-1.401,1.112,0.412,0.436,0.022,161,1,"BATI_GPS  ",0,1,0,0,0,
248.148,41.082,-0.054,1.484,0.72,0.53,0,2,1,"FRPK_GPS  ",0,1,0,0,0,
248.147,39.807,-1.57,1.994,0.67,0.58,0,161,1,"MONA_GPS  ",0,1,0,0,0,
268.939,36.96,0.53,0.746,0.811,0.718,0,2,1,"MOVB_GPS  ",0,1,0,0,0,
248.119,42.65,-2.518,0.494,0.579,0.632,0.116,161,1,"3926_GPS  ",0,1,0,0,0,
248.115,-74.546,-0.724,21.371,1.471,1.657,0,4,1,"BERP_GPS  ",0,1,0,0,0,
248.108,33.774,-1.867,1.867,0.751,0.687,0,2,1,"AZAH_GPS  ",0,1,0,0,0,
248.103,39.914,-3.237,1.833,0.547,0.536,0,161,1,"GOUT_GPS  ",0,1,0,0,0,
248.101,41.589,-0.645,1.034,0.458,0.406,0,161,1,"P125_GPS  ",0,1,0,0,0,
248.093,40.621,-1.075,1.279,0.422,0.371,0,161,1,"MIDV_GPS  ",0,1,0,0,0,
248.08,43.306,-1.678,-0.346,0.721,0.619,0,164,1,"TMIG_GPS  ",0,1,0,0,0,
