interiorLon,interiorLat,eulerLon,eulerLonSig,eulerLat,eulerLatSig,rotationRate,rotationRateSig,rotationInfo,aprioriTog,other1,other2,other3,other4,other5,other6,name,
204.436,59.977,209.796,0.146,60.232,0.077,1.436,0.034,0,0,0,0,0,0,0,0,"Denali                  ",
138.357,-3.454,131.533,0.155,-0.391,0.086,5.46,0.12,0,0,0,0,0,0,0,0,"MO_indo                 ",
142.557,-3.774,101.701,4.002,24.639,2.431,0.935,0.057,0,0,0,0,0,0,0,0,"PNG                     ",
173.363,-40.472,28.075,3.822,37.102,1,1.241,0.136,0,0,0,0,0,0,0,0,"WNIS                    ",
107.213,52.681,111.311,1.189,58.883,1.403,0.653,0.153,0,0,0,0,0,0,0,0,"Bakail                  ",
122.412,-1.911,106.303,1.465,-2.365,0.386,1.099,0.094,0,0,0,0,0,0,0,0,"East_sula               ",
126.762,-5.057,126.439,0.044,-2.911,0.038,9.365,0.17,0,0,0,0,0,0,0,0,"BandaSea                ",
269.481,13.289,265.665,0.135,20.496,0.756,0.622,0.053,0,0,0,0,0,0,0,0,"CA_forearc              ",
275.497,9.612,274.709,0.246,12.293,0.426,6.094,0.805,0,0,0,0,0,0,0,0,"CCRDB                   ",
279.633,7.685,273.422,4.327,24.951,10.298,0.826,0.494,0,0,0,0,0,0,0,0,"bennett1                ",
281.428,8.538,114.023,11.42,18.717,21.825,0.442,0.321,0,0,0,0,0,0,0,0,"bennett2                ",
279.921,9.643,108.496,3.73,16.263,8.594,0.473,0.15,0,0,0,0,0,0,0,0,"Panama                  ",
215.469,59.958,218.126,0.633,58.729,0.477,2.584,0.78,0,0,0,0,0,0,0,0,"BeringDefm              ",
217.942,60.246,41.481,0.439,-61.383,0.097,4.528,0.477,0,0,0,0,0,0,0,0,"Yakataga                ",
198.614,67.824,240.476,13.888,77.939,1.508,0.142,0.036,0,0,0,0,0,0,0,0,"NorthernAlaska          ",
292.602,9.943,286.175,0.86,13.423,0.914,0.493,0.1,0,0,0,0,0,0,0,0,"Gunare                  ",
96.638,46.551,273.868,0.687,-32.198,2.867,0.484,0.084,0,0,0,0,0,0,0,0,"Bulnay                  ",
290.172,10.105,111.019,0.285,-8.91,0.247,2.972,0.596,0,0,0,0,0,0,0,0,"Valera                  ",
288.294,8.554,110.796,1.632,-7.631,1.263,1.078,0.945,0,0,0,0,0,0,0,0,"Maracaibo               ",
288.081,9.373,114.47,0.839,-2.073,0.928,0.656,0.079,0,0,0,0,0,0,0,0,"MARA                    ",
269.707,15.104,89.209,0.517,-13.374,0.822,1.07,0.493,0,0,0,0,0,0,0,0,"Motagua_polochic        ",
177.453,-40.343,2.748,0.352,38.417,0.124,4.819,0.246,0,0,0,0,0,0,0,0,"HAST                    ",
120.056,17.435,119.341,0.026,13.98,0.069,9.795,0.198,0,0,0,0,0,0,0,0,"ILOC                    ",
121.569,16.301,106.242,1.498,-4.54,2.18,1.44,0.134,0,0,0,0,0,0,0,0,"CAG2                    ",
53.255,31.127,320.958,95.278,72.278,6.745,0.197,0.055,0,0,0,0,0,0,0,0,"CIB_iran                ",
56.488,28.887,52.621,0.667,37.105,1.109,1.372,0.195,0,0,0,0,0,0,0,0,"Makran2Zagros           ",
54.336,35.418,236.077,0.072,-18.643,0.354,0.551,0.011,0,0,0,0,0,0,0,0,"Doruneh                 ",
172.761,-44.056,77.56,6.767,-38.252,4.237,0.605,0.03,0,0,0,0,0,0,0,0,"CHCH                    ",
121.092,22.77,79.252,2.743,-11.591,2.258,0.865,0.039,0,0,0,0,0,0,0,0,"LongitudinalValley      ",
127.081,25.584,148.096,1.089,25.777,0.169,1.332,0.062,0,0,0,0,0,0,0,0,"okinawa                 ",
298.694,10.138,298.873,0.013,9.887,0.034,6.389,0.593,0,0,0,0,0,0,0,0,"LosBajos                ",
246.856,45.363,69.36,0.268,-45.008,0.103,0.344,0.033,0,0,0,0,0,0,0,0,"CTBt                    ",
240.331,44.817,65.867,0.392,-44.253,0.097,0.432,0.031,0,0,0,0,0,0,0,0,"EOre                    ",
242.238,48.616,69.589,0.601,-43.448,0.396,0.166,0.014,0,0,0,0,0,0,0,0,"EWas                    ",
16.321,38.313,194.859,0.073,-30.841,0.5,1.522,0.098,0,0,0,0,0,0,0,0,"Calabrian               ",
63.045,29.709,225.51,3.254,23.704,8.436,0.221,0.022,0,0,0,0,0,0,0,0,"HB_iran                 ",
68.541,31.737,46.186,3.976,57.098,2.731,0.401,0.042,0,0,0,0,0,0,0,0,"Chaman                  ",
73.213,35.472,61.451,0.247,43.311,0.109,0.536,0.004,0,0,0,0,0,0,0,0,"pamir001                ",
67.641,37.445,246.734,0.217,-29.641,0.894,0.718,0.069,0,0,0,0,0,0,0,0,"Tajik                   ",
61.593,25.904,66.879,0.394,35.658,0.781,1.003,0.087,0,0,0,0,0,0,0,0,"makran                  ",
120.6,24.061,300.981,0.008,-23.407,0.008,32.288,0.386,0,0,0,0,0,0,0,0,"Changhua                ",
120.885,24.509,123.499,0.616,38.545,3.256,0.626,0.145,0,0,0,0,0,0,0,0,"NorthOfChelungpo        ",
120.568,23.247,301.818,0.009,-23.505,0.006,24.557,0.103,0,0,0,0,0,0,0,0,"EKSH                    ",
286.455,-43.401,259.703,15.894,-55.333,3.606,0.499,0.216,0,0,0,0,0,0,0,0,"Chiloe                  ",
218.619,59.001,197.592,3.019,48.997,2.05,1.925,0.31,0,0,0,0,0,0,0,0,"Yakutat                 ",
218.061,59.612,199.623,14.071,49.927,10.861,1.481,1.385,0,0,0,0,0,0,0,0,"Foreland                ",
216.967,59.742,40.649,0.358,-60.978,0.089,14.698,1.546,0,0,0,0,0,0,0,0,"IcyBay                  ",
120.749,20.359,112.442,0.059,16.216,0.036,3.992,0.029,0,0,0,0,0,0,0,0,"TaiwanEast              ",
243.35,34.063,239.369,0.116,32.319,0.05,2.559,0.066,0,0,0,0,0,0,0,0,"SanBernadino            ",
110.779,7.87,235.958,2.113,73.788,0.542,0.235,0.001,0,0,0,0,0,0,0,0,"SouthEastAsia           ",
122.849,11.897,309.427,0.46,-14.579,0.391,1.465,0.119,0,0,0,0,0,0,0,0,"CENV                    ",
150.539,-9.942,145.807,0.127,-7.617,0.066,11.004,0.362,0,0,0,0,0,0,0,0,"GOOD                    ",
150.01,-8.415,44.371,0.708,22.59,0.17,0.829,0.003,0,0,0,0,0,0,0,0,"TROB                    ",
116.326,21.736,126.356,0.168,44.676,0.4,0.692,0.012,0,0,0,0,0,0,0,0,"ChinaSea                ",
121.648,25.144,121.314,0.012,25.464,0.02,23.157,0.906,0,0,0,0,0,0,0,0,"Taipei2                 ",
222.858,61.765,74.487,2.419,-15.381,6.969,0.037,0.004,0,0,0,0,0,0,0,0,"Tintina                 ",
223.263,59.056,51.026,0.771,-59.956,0.175,0.433,0.033,0,0,0,0,0,0,0,0,"QueenCharlotte          ",
99.714,19.401,268.294,1.054,18.077,2.878,0.351,0.021,0,0,0,0,0,0,0,0,"Myanmar_L               ",
47.496,33.508,254.555,13.761,19.095,27.312,0.196,0.067,0,0,0,0,0,0,0,0,"NorthZagros             ",
52.96,28.578,28.191,8.729,59.653,5.15,0.334,0.055,0,0,0,0,0,0,0,0,"SouthZagros             ",
47.366,38.559,41.464,1.86,57.228,3.9,0.603,0.122,0,0,0,0,0,0,0,0,"Talesh                  ",
122.836,21.389,309.618,0.282,-29.308,0.223,4.676,0.152,0,0,0,0,0,0,0,0,"PhipSea                 ",
