lon,lat,eastVel,northVel,eastSig,northSig,corr,other1,tog,name,upVel,upSig,eastAdj,northAdj,upAdj,
248.462,40.741,0.836,-0.206,0,0,0,2,1,"KIMB_GPS  ",0,1,0,0,0,
268.623,39.938,0.054,-0.016,0,0,0,2,1,"SIKA_GPS  ",0,1,0,0,0,
268.638,42.878,0.044,-0.019,0,0,0,2,1,"IAEL_GPS  ",0,1,0,0,0,
248.435,41.607,1.196,-0.388,0,0,0,2,1,"HWUT_GPS  ",0,1,0,0,0,
268.657,37.97,0.06,-0.014,0,0,0,2,1,"MOST_GPS  ",0,1,0,0,0,
248.416,42.654,-0.872,0.429,0,0,0.047,161,1,"SSPR_GPS  ",0,1,0,0,0,
248.416,42.686,-0.884,0.472,0,0,0,161,1,"IDSS_GPS  ",0,1,0,0,0,
248.408,44.902,0.445,0.462,0,0,0.002,2,1,"WFRA_GPS  ",0,1,0,0,0,
248.38,40.584,1.012,-0.199,0,0,0,2,1,"ALUT_GPS  ",0,1,0,0,0,
268.709,43.497,0.042,-0.019,0,0,0,2,1,"NALB_GPS  ",0,1,0,0,0,
248.37,45.597,0.163,-0.142,0,0,0,102,1,"NOMT_GPS  ",0,1,0,0,0,
248.366,40.016,1.363,-0.449,0,0,0,2,1,"MPUT_GPS  ",0,1,0,0,0,
248.365,35.215,0.33,-0.298,0,0,-0.03,2,1,"FLAG_GPS  ",0,1,0,0,0,
268.719,-79.627,-0.009,0.018,0,0,0,4,1,"W06A_GPS  ",0,1,0,0,0,
248.351,35.202,0.331,-0.299,0,0,0,2,1,"FLAG_GPS  ",0,1,0,0,0,
248.349,39.597,0.978,-0.321,0,0,0,2,1,"P109_GPS  ",0,1,0,0,0,
248.343,35.177,0.332,-0.3,0,0,0,2,1,"AZFL_GPS  ",0,1,0,0,0,
268.743,42.104,0.046,-0.018,0,0,0,2,1,"IAAN_GPS  ",0,1,0,0,0,
248.334,41.046,1.036,-0.286,0,0,0,2,1,"MOUT_GPS  ",0,1,0,0,0,
268.749,47.303,0.029,-0.022,0,0,0,2,1,"SLVB_GPS  ",0,1,0,0,0,
248.321,45.232,0.167,-0.129,0,0,-0.052,102,1,"H146_GPS  ",0,1,0,0,0,
268.775,43.778,0.041,-0.019,0,0,0,2,1,"LCRS_GPS  ",0,1,0,0,0,
268.784,37.455,0.061,-0.013,0,0,0,2,1,"MOB8_GPS  ",0,1,0,0,0,
268.791,40.833,0.05,-0.017,0,0,0,2,1,"IAWB_GPS  ",0,1,0,0,0,
268.792,39.348,0.055,-0.015,0,0,0,2,1,"MOBG_GPS  ",0,1,0,0,0,
248.283,40.752,1.196,-0.245,0,0,0,2,1,"1S2E_GPS  ",0,1,0,0,0,
248.277,40.772,1.202,-0.248,0,0,0,2,1,"P088_GPS  ",0,1,0,0,0,
268.809,41.175,0.049,-0.017,0,0,0,2,1,"IAWO_GPS  ",0,1,0,0,0,
248.265,42.827,-0.48,0.893,0,0,0,161,1,"P683_GPS  ",0,1,0,0,0,
268.817,32.4,0.076,-0.006,0,0,0,2,1,"TALL_GPS  ",0,1,0,0,0,
268.82,30.407,0.081,-0.002,0,0,0,2,1,"1LSU_GPS  ",0,1,0,0,0,
248.254,39.744,1.385,-0.397,0,0,0,2,1,"FOOT_GPS  ",0,1,0,0,0,
248.249,40.435,-1.041,0.057,0,0,0,161,1,"P117_GPS  ",0,1,0,0,0,
268.839,38.815,0.057,-0.015,0,0,0,2,1,"MOWR_GPS  ",0,1,0,0,0,
248.219,41.583,-0.865,0.244,0,0,0,161,1,"P126_GPS  ",0,1,0,0,0,
248.217,45.693,0.162,-0.128,0,0,0.003,102,1,"F145_GPS  ",0,1,0,0,0,
248.216,43.82,-0.187,-0.544,0,0,0,164,1,"IDBY_GPS  ",0,1,0,0,0,
248.212,42.541,-0.557,0.4,0,0,0.118,161,1,"GRCE_GPS  ",0,1,0,0,0,
248.211,45.218,0.155,-0.094,0,0,0,102,1,"P719_GPS  ",0,1,0,0,0,
248.206,34.863,0.347,-0.318,0,0,0,2,1,"SEDO_GPS  ",0,1,0,0,0,
248.195,43.836,-0.188,-0.54,0,0,-0.044,164,1,"U11D_GPS  ",0,1,0,0,0,
248.192,26.621,-3.945,1.429,0,0,0,245,1,"CONC_GPS  ",0,1,0,0,0,
248.191,40.781,1.341,-0.322,0,0,0,2,1,"RBUT_GPS  ",0,1,0,0,0,
268.89,41.643,0.048,-0.017,0,0,0,2,1,"IATI_GPS  ",0,1,0,0,0,
268.893,30.396,0.08,-0.002,0,0,0,2,1,"SJB1_GPS  ",0,1,0,0,0,
248.171,34.537,0.359,-0.331,0,0,0.076,2,1,"W002_GPS  ",0,1,0,0,0,
248.17,44.068,-0.319,-0.601,0,0,0,164,1,"P685_GPS  ",0,1,0,0,0,
248.163,44.719,0.114,0.33,0,0,0,102,1,"P707_GPS  ",0,1,0,0,0,
248.157,42.215,-0.472,0.135,0,0,0.022,161,1,"BATI_GPS  ",0,1,0,0,0,
248.148,41.082,1.322,-0.383,0,0,0,2,1,"FRPK_GPS  ",0,1,0,0,0,
248.147,39.807,-1.074,0.086,0,0,0,161,1,"MONA_GPS  ",0,1,0,0,0,
268.939,36.96,0.062,-0.013,0,0,0,2,1,"MOVB_GPS  ",0,1,0,0,0,
248.119,42.65,-0.443,0.661,0,0,0.116,161,1,"3926_GPS  ",0,1,0,0,0,
248.115,-74.546,-0.014,0.024,0,0,0,4,1,"BERP_GPS  ",0,1,0,0,0,
248.108,33.774,0.398,-0.365,0,0,0,2,1,"AZAH_GPS  ",0,1,0,0,0,
248.103,39.914,-0.803,0.084,0,0,0,161,1,"GOUT_GPS  ",0,1,0,0,0,
248.101,41.589,-0.677,0.186,0,0,0,161,1,"P125_GPS  ",0,1,0,0,0,
248.093,40.621,-0.92,-0.073,0,0,0,161,1,"MIDV_GPS  ",0,1,0,0,0,
248.08,43.306,-0.158,-0.503,0,0,0,164,1,"TMIG_GPS  ",0,1,0,0,0,
248.08,43.657,-0.127,-0.472,0,0,-0.015,164,1,"RGBY_GPS  ",0,1,0,0,0,
248.077,33.492,0.419,-0.38,0,0,0.028,2,1,"AZSC_GPS  ",0,1,0,0,0,
269.003,38.46,0.057,-0.014,0,0,0,2,1,"SICE_GPS  ",0,1,0,0,0,
248.072,40.261,-0.449,-0.099,0,0,0,161,1,"LMUT_GPS  ",0,1,0,0,0,
248.071,41.253,-0.966,0.124,0,0,0,161,1,"EOUT_GPS  ",0,1,0,0,0,
248.07,40.435,-0.59,-0.139,0,0,0,161,1,"MRPH_GPS  ",0,1,0,0,0,
269.017,30.1,0.08,-0.002,0,0,0,2,1,"AWES_GPS  ",0,1,0,0,0,
248.055,39.589,-0.964,0.038,0,0,0,161,1,"P108_GPS  ",0,1,0,0,0,
248.052,42.391,-0.392,0.284,0,0,0.057,161,1,"DOWN_GPS  ",0,1,0,0,0,
248.051,40.162,-0.409,-0.059,0,0,0,161,1,"0H64_GPS  ",0,1,0,0,0,
248.05,39.952,-0.587,0.031,0,0,0,161,1,"ELBE_GPS  ",0,1,0,0,0,
248.049,40.72,-0.928,-0.06,0,0,0,161,1,"BLMB_GPS  ",0,1,0,0,0,
248.048,33.447,0.424,-0.385,0,0,0,2,1,"SA31_GPS  ",0,1,0,0,0,
248.048,40.786,-0.967,-0.029,0,0,0,161,1,"ZLC1_GPS  ",0,1,0,0,0,
248.043,41.558,-0.629,0.151,0,0,0,161,1,"P124_GPS  ",0,1,0,0,0,
248.042,44.598,-0.454,-0.861,0,0,-0.01,164,1,"E138_GPS  ",0,1,0,0,0,
248.02,24.51,-1.273,0.092,0,0,0,245,1,"WMAR_GPS  ",0,1,0,0,0,
248.019,34.728,0.363,-0.335,0,0,0.086,2,1,"R018_GPS  ",0,1,0,0,0,
248.011,37.52,0.412,-0.316,0,0,0,2,1,"KODA_GPS  ",0,1,0,0,0,
248.006,46.589,0.24,-0.08,0,0,0,102,1,"MTDT_GPS  ",0,1,0,0,0,
269.08,32.331,0.075,-0.006,0,0,0,2,1,"VIC9_GPS  ",0,1,0,0,0,
247.997,41.757,-0.39,0.09,0,0,0,161,1,"CURV_GPS  ",0,1,0,0,0,
247.986,40.434,-0.429,-0.144,0,0,0,161,1,"P116_GPS  ",0,1,0,0,0,
269.096,30.314,0.079,-0.002,0,0,0,2,1,"GVMS_GPS  ",0,1,0,0,0,
247.977,40.727,-0.774,-0.113,0,0,0,161,1,"MUHA_GPS  ",0,1,0,0,0,
247.973,40.588,-0.58,-0.161,0,0,0,161,1,"FLOR_GPS  ",0,1,0,0,0,
247.971,55.945,0.002,-0.094,0,0,0,2,1,"C041_GPS  ",0,1,0,0,0,
247.958,43.482,-0.105,-0.454,0,0,0,164,1,"IDBB_GPS  ",0,1,0,0,0,
247.953,39.662,-0.587,-0.03,0,0,0,161,1,"CAPS_GPS  ",0,1,0,0,0,
269.13,15.348,0.982,-0.377,0,0,0.061,91,1,"USP__GPS  ",0,1,0,0,0,
247.948,43.519,-0.102,-0.45,0,0,0,164,1,"IDIF_GPS  ",0,1,0,0,0,
247.936,41.539,-0.491,0.091,0,0,0,161,1,"BAIR_GPS  ",0,1,0,0,0,
247.936,43.986,-0.176,-0.488,0,0,0,164,1,"GBIG_GPS  ",0,1,0,0,0,
